id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US17157,"Randolph County, Illinois",13.9,38.9,20.5,7.0,8.5,3.5,2010
0500000US17159,"Richland County, Illinois",6.4,36.8,20.2,14.0,12.5,5.6,2010
0500000US17161,"Rock Island County, Illinois",8.9,33.2,23.8,8.7,13.9,7.2,2010
0500000US17163,"St. Clair County, Illinois",8.6,29.0,25.0,9.6,15.1,8.8,2010
0500000US17165,"Saline County, Illinois",10.3,30.0,27.6,10.2,9.5,4.8,2010
0500000US17167,"Sangamon County, Illinois",6.2,29.4,22.4,8.1,19.6,11.5,2010
0500000US17169,"Schuyler County, Illinois",6.1,42.1,23.6,5.8,12.0,5.6,2010
0500000US17171,"Scott County, Illinois",6.5,44.0,20.0,6.3,14.7,3.3,2010
0500000US17173,"Shelby County, Illinois",7.8,41.4,21.4,10.2,10.1,4.6,2010
0500000US17175,"Stark County, Illinois",8.6,39.3,24.1,9.4,11.4,3.8,2010
0500000US17177,"Stephenson County, Illinois",8.1,36.3,25.8,9.2,10.9,6.2,2010
0500000US17179,"Tazewell County, Illinois",6.8,32.9,24.5,9.7,16.9,6.2,2010
0500000US17181,"Union County, Illinois",8.5,31.2,21.1,8.9,11.9,5.9,2010
0500000US17183,"Vermilion County, Illinois",10.5,40.3,22.0,8.8,9.2,4.5,2010
0500000US17185,"Wabash County, Illinois",9.3,33.7,21.3,16.1,11.0,4.3,2010
0500000US17187,"Warren County, Illinois",10.6,34.1,23.6,7.9,13.0,6.8,2010
0500000US17189,"Washington County, Illinois",6.1,34.7,22.9,11.5,10.8,6.3,2010
0500000US17191,"Wayne County, Illinois",8.8,35.7,22.0,14.5,8.6,3.5,2010
0500000US17193,"White County, Illinois",9.4,34.7,24.0,13.5,7.7,4.5,2010
0500000US17195,"Whiteside County, Illinois",8.4,39.1,21.4,8.9,11.1,5.0,2010
0500000US17197,"Will County, Illinois",5.9,28.1,23.2,8.0,20.1,10.6,2010
0500000US17199,"Williamson County, Illinois",8.0,32.1,25.0,9.3,13.7,8.0,2010
0500000US17201,"Winnebago County, Illinois",10.3,33.7,21.7,7.9,13.8,7.3,2010
0500000US17203,"Woodford County, Illinois",4.6,32.7,23.9,9.7,17.5,8.5,2010
0500000US18001,"Adams County, Indiana",8.2,42.5,19.4,8.7,8.2,4.0,2010
0500000US18003,"Allen County, Indiana",7.4,31.6,21.7,9.1,17.8,8.3,2010
0500000US01001,"Autauga County, Alabama",9.7,35.2,21.9,6.5,14.7,7.1,2010
0500000US01003,"Baldwin County, Alabama",8.5,29.9,23.2,7.6,18.1,8.7,2010
