"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US36009","Cattaraugus County, New York","76117","*****"
"0500000US36011","Cayuga County, New York","76576","*****"
"0500000US36013","Chautauqua County, New York","126903","*****"
"0500000US36015","Chemung County, New York","83456","*****"
"0500000US36019","Clinton County, New York","80485","*****"
"0500000US36027","Dutchess County, New York","294218","*****"
"0500000US36029","Erie County, New York","918702","*****"
"0500000US36045","Jefferson County, New York","109834","*****"
"0500000US36047","Kings County, New York","2559903","*****"
"0500000US36051","Livingston County, New York","62914","*****"
"0500000US36053","Madison County, New York","70941","*****"
"0500000US36055","Monroe County, New York","741770","*****"
"0500000US36059","Nassau County, New York","1356924","*****"
"0500000US36061","New York County, New York","1628706","*****"
"0500000US36063","Niagara County, New York","209281","*****"
"0500000US36065","Oneida County, New York","228671","*****"
"0500000US36067","Onondaga County, New York","460528","*****"
"0500000US36069","Ontario County, New York","109777","*****"
"0500000US36071","Orange County, New York","384940","*****"
"0500000US36075","Oswego County, New York","117124","*****"
"0500000US36079","Putnam County, New York","98320","*****"
"0500000US36081","Queens County, New York","2253858","*****"
"0500000US36083","Rensselaer County, New York","158714","*****"
"0500000US36085","Richmond County, New York","476143","*****"
"0500000US36087","Rockland County, New York","325789","*****"
"0500000US36089","St. Lawrence County, New York","107740","*****"
"0500000US36091","Saratoga County, New York","229863","*****"
"0500000US36093","Schenectady County, New York","155299","*****"
"0500000US36101","Steuben County, New York","95379","*****"
"0500000US36103","Suffolk County, New York","1476601","*****"
"0500000US36105","Sullivan County, New York","75432","*****"
"0500000US36109","Tompkins County, New York","102180","*****"
"0500000US36111","Ulster County, New York","177573","*****"
"0500000US36113","Warren County, New York","63944","*****"
"0500000US36117","Wayne County, New York","89918","*****"
"0500000US36119","Westchester County, New York","967506","*****"
"0500000US37001","Alamance County, North Carolina","169509","*****"
"0500000US37019","Brunswick County, North Carolina","142820","*****"
"0500000US37021","Buncombe County, North Carolina","261191","*****"
"0500000US37023","Burke County, North Carolina","90485","*****"
"0500000US37025","Cabarrus County, North Carolina","216453","*****"
"0500000US37027","Caldwell County, North Carolina","82178","*****"
"0500000US37031","Carteret County, North Carolina","69473","*****"
"0500000US37035","Catawba County, North Carolina","159551","*****"
"0500000US37037","Chatham County, North Carolina","74470","*****"
"0500000US37045","Cleveland County, North Carolina","97947","*****"
"0500000US37049","Craven County, North Carolina","102139","*****"
"0500000US37051","Cumberland County, North Carolina","335509","*****"
"0500000US37057","Davidson County, North Carolina","167609","*****"
"0500000US37063","Durham County, North Carolina","321488","*****"
"0500000US37067","Forsyth County, North Carolina","382295","*****"
"0500000US37069","Franklin County, North Carolina","69685","*****"
"0500000US37071","Gaston County, North Carolina","224529","*****"
"0500000US37081","Guilford County, North Carolina","537174","*****"
"0500000US37085","Harnett County, North Carolina","135976","*****"
"0500000US37089","Henderson County, North Carolina","117417","*****"
"0500000US37097","Iredell County, North Carolina","181806","*****"
"0500000US37101","Johnston County, North Carolina","209339","*****"
"0500000US37109","Lincoln County, North Carolina","86111","*****"
"0500000US37119","Mecklenburg County, North Carolina","1110356","*****"
"0500000US37125","Moore County, North Carolina","100880","*****"
"0500000US37127","Nash County, North Carolina","94298","*****"
"0500000US37129","New Hanover County, North Carolina","234473","*****"
"0500000US37133","Onslow County, North Carolina","197938","*****"
"0500000US37135","Orange County, North Carolina","148476","*****"
"0500000US37147","Pitt County, North Carolina","180742","*****"
"0500000US37151","Randolph County, North Carolina","143667","*****"
